title,proper_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_dates
For sale: Serviced 606sqm & 817sqm& 1333sqm Residential Plot In A Beautiful Estate,Land,Creek Haven Estate Victoria Garden City Lekki Lagos,"₦252,000,000",,,,24 Feb 2022,10 Nov 2025
"For sale: Stunning 2 Bedroom Flat With Swimming Pool, Gym And Elevator",Flat & Apartment,Ikate Elegushi Lekki Lagos,"₦210,000,000",2,3,3,20 Jul 2025,10 Nov 2025
For sale: Charming 5 Bedrooms Detached Duplex With Sit Out Area And Bq,House,Ajah Lagos,"₦250,000,000",4,5,6,20 Jul 2025,10 Nov 2025
For sale: Strategically Located Residential Plots Of Land Measuring 1500sqm,Land,Magodo Shangisha Ikeja Lagos,"₦650,000,000",,,,20 Jul 2025,10 Nov 2025
For sale: Luxury 5 Bedroom Detached House With Swimming Pool And Bq,House,Ajah Lagos,"₦280,000,000",5,6,7,20 Jul 2025,10 Nov 2025
For sale: Luxury 5 Bedroom Detached House With Swimming Pool And Bq,House,Ajah Lagos,"₦240,000,000",5,6,7,24 Jul 2025,10 Nov 2025
For sale: Stunning 5 Bedroom Detached House With Swimming Pool And Bq,House,Ajah Lagos,"₦270,000,000",5,6,7,24 Jul 2025,10 Nov 2025
"For sale: Luxury 5 Bedroom Detached Duplex With Swimming Pool, Cinema And Bq",House,Ikate Elegushi Lekki Lagos,"₦1,000,000,000",5,6,7,24 Jul 2025,10 Nov 2025
For sale: Stunning 2 And 3 Bedroom Apartment With Swimming Pool And Gym,Flat & Apartment,Ikate Elegushi Lekki Lagos,"₦180,000,000",2,3,3,30 Jul 2025,10 Nov 2025
"For sale: Luxury 5 Bedroom Detached House With Swimming Pool, Cinema And Bq",House,Megamound Estate Ikota Lekki Lagos,"₦580,000,000",5,6,7,31 Jul 2025,10 Nov 2025
For sale: 6 Bedroom Duplex With A Penthouse House,House,Call In Estate Chevron Lekki Chevron Drive Lekki Lagos,"₦390,000,000",6,6,6,20 Jun 2025,09 Nov 2025
For sale: Stunning 5 Bedroom Detached House With Swimming Pool And Bq,House,Victoria Garden City Lekki Lagos,"₦350,000,000",5,6,7,30 Oct 2025,10 Nov 2025
For sale: Astonishing 5 Bedroom Detached Duplex With Bq And Swimming Pool,House,Victoria Garden City Lekki Lagos,"₦350,000,000",5,6,7,30 Oct 2025,10 Nov 2025
For sale: Stunning 5 Bedroom Detached Duplex With Boys Quarter And Swimming Pool,House,Ajah Lagos,"₦250,000,000",5,5,6,30 Oct 2025,10 Nov 2025
For sale: Beautiful 4 Bedroom Semi Detached Duplex With Bq,House,Ado Ajah Lagos,"₦200,000,000",4,4,5,30 Oct 2025,10 Nov 2025
For sale: Luxury 4 Bedroom Detached Duplex With Boys Quarter,House,Ado Ajah Lagos,"₦180,000,000",4,4,5,31 Oct 2025,10 Nov 2025
For sale: Luxury 4 Bedroom Detached Duplex With Boys Quarter,House,Ado Ajah Lagos,"₦190,000,000",4,4,5,31 Oct 2025,10 Nov 2025
For sale: Beautiful 4 Bedroom Detached Duplex With Boys Quarter,House,Abraham Adesanya Ajah Lagos,"₦140,000,000",4,4,5,31 Oct 2025,10 Nov 2025
For sale: Luxury 5 Bedroom Detached Duplex With Boys Quarter,House,Lekki Plamcity Addo Ajah Lagos,"₦220,000,000",5,5,6,31 Oct 2025,10 Nov 2025
For sale: Luxury 5 Bedroom Detached Duplex With Swimming Pool And Bq,House,Lekki Plamcity Addo Ajah Lagos,"₦300,000,000",5,5,6,31 Oct 2025,10 Nov 2025
"For sale: Luxury 1,2 & 3 Bedroom Fully Furnished & Serviced Apartments",Flat & Apartment,Lekki Phase 1 Lagos,"₦300,000,000",3,3,3,10 Nov 2025,10 Nov 2025
For sale: Avu Obosima Land For Sale,Land,Avu Obosima Owerri Imo,"₦7,500,000",,,,30 Oct 2025,10 Nov 2025
For sale: 3 Bedroom Bungalow + Bq + Solar Panel For Sale In Ibeju Lekki Aramide Bungalow,House,Aramide Bungalow Aiyetoro Ibeju Lekki Ibeju Lekki Lagos,"₦75,000,000",3,3,3,09 Nov 2025,10 Nov 2025
For sale: Luxury 3 Bedroom Terrace Duplex — Flexible 5 Month Payment Plan,House,"Location: Omolayo Estate, Akobo, Ibadan Akobo Ibadan Oyo","₦65,000,000",,,,08 Nov 2025,10 Nov 2025
For sale: Luxury 4 Bedroom Duplex With Bq,House,"Carlton Gate Estate, Ibadan Akobo Ibadan Oyo","₦200,000,000",,,,08 Nov 2025,10 Nov 2025
For sale: Premium Finished 2 Bedroom Apartment,Flat & Apartment,Off Awolowo Road Old Ikoyi Lagos,"₦320,000,000",2,2,3,26 Feb 2025,10 Nov 2025
For sale: Newly Built 2 Bedroom Apartment,Flat & Apartment,Itedo Estate By Purple Mall Lekki Phase 1 Lagos,"₦130,000,000",2,2,3,17 May 2025,10 Nov 2025
For sale: Luxury 3 Bedroom Apartment With Bq.,Flat & Apartment,Durosimi Eti Street Lekki Phase 1 Lagos,"₦350,000,000",3,3,4,01 Sep 2025,10 Nov 2025
For sale: Premium Finished 2 Bedroom Apartment With Elevator,Flat & Apartment,Surulere Lagos,"₦96,560,000",2,2,3,04 Oct 2025,10 Nov 2025
"For sale: A Well Crafted Fully Serviced 2 Bedroom Apartment With Pool, Gym & Elevator",Flat & Apartment,Victoria Island Lagos,"₦450,000,000",2,2,3,17 Oct 2025,10 Nov 2025
"For sale: Agbowa Property Boom, Don’t Miss The Final Frontier",Land,Agbowa Along Lagos Homes And Apartments Ikorodu Lagos,"₦1,500,000",,,,01 Jul 2025,10 Nov 2025
For sale: Elite Haven Away From The Hustle And Bustle Of The City,Land,Bogije Opposite Beechwood Estate Eputu Ibeju Lekki Lagos,"₦6,500,000",,,,15 Apr 2024,10 Nov 2025
For sale: Exquisite Lekki Phase 1 5units Of 5 Bedrooms Fully Detached Duplex For Sale*🔌,House,Lekki Enclave Estate By Earl Court Nike Art Gallery Lekki Phase 1 Right Lekki Phase 1 Lagos,"₦820,000,000",5,,,04 Nov 2025,10 Nov 2025
"For sale: Over 100 Subscribers, Then Something's Right, Join The Investor's Choice",Land,Ilara Near Otedola Housing Estate Epe Lagos,"₦4,500,000",,,,18 Dec 2023,10 Nov 2025
For sale: Newly Built Luxurious 5 Bedroom Fully Detached Duplex With Bq,House,Chevron Drive Lekki Lagos,"₦520,000,000",5,5,5,23 Oct 2025,10 Nov 2025
For sale: Newly Built Luxurious 6 Bedroom Fully Detached Smart Duplex,House,Chevron Drive Lekki Lagos,"₦750,000,000",6,6,6,23 Oct 2025,10 Nov 2025
For sale: Newly Built 5 Bedroom Fully Detached Smart Duplex With Bq,House,Chevron Drive Lekki Lagos,"₦360,000,000",5,5,6,23 Oct 2025,10 Nov 2025
For sale: Newly Built 5 Bedroom Fully Detached Smart Duplex,House,Chevron Drive Lekki Lagos,"₦360,000,000",5,5,5,23 Oct 2025,10 Nov 2025
For sale: 4 Bedroom Luxurious Apartment With Bq,Flat & Apartment,Victoria Island Lagos,"₦400,000,000",4,4,5,27 Oct 2025,10 Nov 2025
For sale: Newly Built 5 Bedroom Fully Detached Duplex,House,Ikoyi Lagos,"₦2,300,000,000",5,5,5,31 Oct 2025,10 Nov 2025
For sale: Furnished 2 Bedroom Apartment With Bq,Flat & Apartment,Ilasan Lekki Lagos,"₦180,000,000",2,2,2,06 Nov 2025,10 Nov 2025
For sale: 3 Bedroom Apartment Available,Flat & Apartment,Lekki Phase 1 Lagos,"₦400,000,000",3,3,3,06 Nov 2025,10 Nov 2025
For sale: 3 Bedroom Apartments Available,Flat & Apartment,Lekki Phase 1 Lagos,"₦350,000,000",3,3,3,10 Nov 2025,10 Nov 2025
For sale: 2 Bedroom Luxury Apartment Off Plan,Flat & Apartment,Idera Scheme Eleko Ibeju Lekki Lagos Eleko Ibeju Lekki Lagos,"₦74,800,000",2,2,3,10 Nov 2025,10 Nov 2025
For sale: Lovely 4 Flats On About 2 Plots Of Land In Ogba Ikeja,Flat & Apartment,Aguda Ogba Lagos,"₦195,000,000",3,2,2,15 Sep 2025,10 Nov 2025
For sale: Absolutely Decent 4 Bedroom Terrace Duplex With Private Compound,House,Ajah Lagos,"₦95,000,000",4,4,5,09 Oct 2025,10 Nov 2025
For sale: Modestly Finished Luxury 4 Bedroom Semi Detached Duplex With Bq,House,Ajah Lagos,"₦150,000,000",4,4,5,09 Oct 2025,10 Nov 2025
For sale: Primed 7240sqm Residential Plot In A Strategic Location,Land,Ministers Hill Maitama Abuja Phase 1,"₦16,000,000,000",,,,15 Oct 2025,10 Nov 2025
For sale: Furnished 3 Bedroom Maisonette With Bar,Flat & Apartment,Lekki Phase 1 Lagos,"₦425,000,000",3,3,4,15 Oct 2025,10 Nov 2025
For sale: 4 Bedroom Semi Detached Duplex For Sale‼️‼️,House,Ikota Lekki Lagos,"₦150,000,000",4,,,24 Oct 2025,10 Nov 2025
For sale: Luxury 4 Bedroom Terrace Duplex,House,Ogombo Ajah Lagos,"₦140,000,000",4,,,24 Oct 2025,10 Nov 2025
For sale: Land For Sale Along Moniya Iseyin Road Ibadan Adesuwa Estate,Land,Adesuwa Estate Along Moniya Iseyin Road Ibadan Moniya Ibadan Oyo,"₦20,000,000",,,,26 Oct 2025,10 Nov 2025
For sale: Tastefully Finished 5 Bedroom Semi Detached Duplex With Swimming Pool,House,Cowrie Creek Estate Ikate Lekki Phase 1 Lagos,"₦950,000,000",5,5,6,23 Oct 2025,10 Nov 2025
For sale: 🏡 For Sale | 5 Bedroom Fully Detached Duplex,House,Ikoyi Lagos,"₦2,300,000,000",5,,,24 Oct 2025,10 Nov 2025
"For sale: 100ft × 100ft Land With Easy Access Road Available For Sale At Idogbo Bypass Express Road, Ikpoba Okha L.g.a",Land,Benin Edo,"₦8,500,000",,,,04 Nov 2025,08 Nov 2025
"For sale: For Sale | 5 Bedroom Detached Duplex Mansion With Cinema, Swimming Pool, Garden & Bq",House,Osapa Lekki Lagos,"₦1,500,000,000",5,,,24 Oct 2025,10 Nov 2025
For sale: 2400sqm Commercial Plot Facing Lekki Epe Express Way,Land,Lekki Epe Express Way Lekki Phase 1 Lagos,"₦3,000,000,000",,,,31 Oct 2025,10 Nov 2025
For sale: Magnificent 5 Beds With A Bq On Two Floors,House,Orchid Road Lekki Lagos,"₦350,000,000",5,,,31 Oct 2025,10 Nov 2025
For sale: Exquisite Terrace Duplex,House,Ajah Lagos,"₦160,000,000",3,,,03 Jul 2025,10 Nov 2025
For sale: Tastefully Finished 4 Bedroom Terrace Duplex With Bq,House,By Berger Life Camp Abuja Phase 3,"₦250,000,000",4,4,5,19 Jan 2025,10 Nov 2025
For sale: Ajah Lekki Luxurious Apartments* 2bedrooms Apartments For Sale!!,Flat & Apartment,Ajah Lagos,"₦80,000,000",2,,,21 Jan 2025,10 Nov 2025
For sale: Ajah Luxurious Duplex With Swimming Pool* 🔑🔑 5bedrooms Fully Detached Duplex With Bq For Sale!!,House,Ajah Lagos,"₦260,000,000",5,,,21 Jan 2025,10 Nov 2025
For sale: Lekki Duplexes* 4bedrooms Semi Detached Duplex With Bq For Sale!!,House,2nd Toll Gate Lekki Lagos,"₦135,000,000",4,,,30 Mar 2025,10 Nov 2025
For sale: Exquisite 4bedroom Terrace Duplex,House,Chevron Toll Lekki Lekki Lagos,"₦100,000,000",4,,,30 Mar 2025,10 Nov 2025
For sale: 5 Bedroom Terraced Duplex With A Bq,House,Guzape Abuja Phase 1,"₦400,000,000",5,5,6,22 May 2025,10 Nov 2025
For sale: Luxurious Fully Furnished 2 Bedroom Apartment With A Study,Flat & Apartment,Victoria Island Lagos,"₦570,000,000",2,2,3,23 May 2025,10 Nov 2025
